n_lags,ridge_lambda,m_horizon,mean_cv_r2
4,0.001,2,-0.3342985258956906
4,0.001,4,-0.19984876813002328
4,0.01,1,-0.2309682719137817
4,0.01,2,-0.33422030421743554
4,0.01,4,-0.19971509768941342
4,0.1,1,-0.23021261192676387
4,0.1,2,-0.33352370019813776
4,0.1,4,-0.19849153597713246
4,1.0,1,-0.22813288663568332
4,1.0,2,-0.33060391235255204
4,1.0,4,-0.1918915391124758
6,0.0,1,-0.170141485286519
6,0.0,2,-0.22673504018867963
6,0.0,4,-0.3664224164198593
6,1e-06,1,-0.17014145514634507
6,1e-06,2,-0.22673501212757857
6,1e-06,4,-0.36642238008080197
6,1e-05,1,-0.17014118388738567
6,1e-05,2,-0.22673475957996292
6,1e-05,4,-0.3664220530314569
6,0.0001,1,-0.17013847155630107
6,0.0001,2,-0.22673223433209583
6,0.0001,4,-0.3664187827514301
6,0.001,1,-0.1701113740703376
6,0.001,2,-0.22670700465690033
6,0.001,4,-0.36638610127364857
6,0.01,1,-0.16984295636683996
6,0.01,2,-0.22645696411864008
6,0.01,4,-0.3660613969680181
6,0.1,1,-0.16739153343924204
6,0.1,2,-0.22416042649419735
6,0.1,4,-0.36300575153600206
6,1.0,1,-0.1546486536540153
6,1.0,2,-0.21111307911242833
6,1.0,4,-0.3420983903150605
8,0.0,1,-0.3527125989085924
8,0.0,2,-0.5748729301606254
8,0.0,4,-0.9759292882284278
8,1e-06,1,-0.35271256677233215
8,1e-06,2,-0.5748728842859087
8,1e-06,4,-0.9759292295165081
8,1e-05,1,-0.3527122775487461
8,1e-05,2,-0.574872471416295
8,1e-05,4,-0.9759287011118521
8,0.0001,1,-0.3527093855867802
8,0.0001,2,-0.5748683429978729
8,0.0001,4,-0.9759234173221405
8,0.001,1,-0.3526804933200833
8,0.001,2,-0.5748270865540539
8,0.001,4,-0.9758706050826366
8,0.01,1,-0.35239427396955014
8,0.01,2,-0.5744172648740579
8,0.01,4,-0.9753450205834732
8,0.1,1,-0.34977392903980475
8,0.1,2,-0.5705654008888409
8,0.1,4,-0.9703180791096923
8,1.0,1,-0.3347202166234237
8,1.0,2,-0.5438605963382455
8,1.0,4,-0.9314718924048149
12,0.0,1,-1.0098735502428624
12,0.0,2,-0.9508300674825447
12,0.0,4,-1.0754038048369126
12,1e-06,1,-1.009873448284851
12,1e-06,2,-0.9508299825204356
12,1e-06,4,-1.0754036912721945
12,1e-05,1,-1.0098725306672445
12,1e-05,2,-0.9508292178656902
12,1e-05,4,-1.075402669194593
12,0.0001,1,-1.0098633549439788
12,0.0001,2,-0.9508215717364366
12,0.0001,4,-1.0753924489008342
12,0.001,1,-1.009771642943332
12,0.001,2,-0.9507451522174323
12,0.001,4,-1.0752902941392797
12,0.01,1,-1.0088590015113374
12,0.01,2,-0.9499850887700234
12,0.01,4,-1.0742735169963709
12,0.1,1,-1.0001413070166347
12,0.1,2,-0.9427574806431386
12,0.1,4,-1.0645409828644108
12,1.0,1,-0.9361914752234002
12,1.0,2,-0.8900194407620565
12,1.0,4,-0.9914236770535647
